Year,UK,60RELBHCP_ALL_D,60ABSBHCP_ALL_D,60RELAHCP_ALL_D,60ABSAHCP_ALL_D,60RELBHCN_ALL_D,60ABSBHCN_ALL_D,60RELAHCN_ALL_D,60ABSAHCN_ALL_D,60RELBHCP_ALL_ND,60ABSBHCP_ALL_ND,60RELAHCP_ALL_ND,60ABSAHCP_ALL_ND,60RELBHCN_ALL_ND,60ABSBHCN_ALL_ND,60RELAHCN_ALL_ND,60ABSAHCN_ALL_ND
1995/96,GB,22,40,30,46,3.5,6.3,4.7,7.1,16,27,22,32,6.5,10.7,8.8,12.8
1996/97,GB,24,38,31,43,3.5,5.5,4.5,6.4,18,26,23,31,7.3,10.5,9.5,12.5
1997/98,GB,25,37,31,42,4.1,6.0,5.1,6.8,17,24,22,28,6.8,9.5,8.5,11.1
1998/99,GB,26,36,31,40,4.3,6.0,5.2,6.7,17,23,21,27,6.5,8.9,8.4,10.7
1999/00,GB,25,33,31,38,3.9,5.3,4.8,6.0,17,22,21,26,6.8,8.7,8.6,10.5
2000/01,GB,24,30,30,35,4.1,5.0,4.9,5.8,16,19,20,23,6.3,7.6,8.1,9.3
2001/02,GB,25,27,30,32,4.0,4.3,4.8,5.1,16,17,20,21,6.3,6.8,8.1,8.5
2002/03,UK,23,24,28,28,4.0,4.1,4.7,4.8,16,16,20,20,6.5,6.6,8.2,8.3
2003/04,UK,22,23,26,25,3.7,3.8,4.4,4.3,16,16,20,19,6.6,6.7,8.1,8.1
2004/05,UK,22,22,25,24,3.7,3.7,4.2,4.0,15,15,19,18,6.3,6.3,7.8,7.5
2005/06,UK,22,21,25,23,3.9,3.8,4.4,4.1,16,15,20,19,6.5,6.4,8.3,7.8
2006/07,UK,24,23,27,24,4.1,3.9,4.5,4.1,16,15,21,19,6.7,6.3,8.8,8.1
2007/08,UK,25,23,28,25,4.2,4.0,4.8,4.3,16,15,20,19,6.8,6.5,8.8,8.3
2008/09,UK,22,21,25,23,3.9,3.6,4.4,4.1,16,15,21,20,6.9,6.6,9.1,8.4
2009/10,UK,20,18,25,23,3.7,3.3,4.5,4.1,16,14,21,20,6.7,6.1,9.1,8.4
2010/11,UK,20,20,24,24,3.6,3.6,4.4,4.4,14,14,20,20,6.3,6.3,8.7,8.7
2011/12,UK,18,20,23,25,3.5,3.8,4.4,4.8,15,16,20,21,6.4,7.0,8.7,9.2
2012/13,UK,19,22,25,27,3.7,4.2,4.7,5.3,14,15,19,21,6.0,6.4,8.5,9.3
2013/14,UK,20,22,27,30,3.7,4.1,5.1,5.6,13,14,19,20,5.9,6.4,8.2,8.9
