Year,UK,60RELBHCP_CHILD_D,60ABSBHCP_CHILD_D,60RELAHCP_CHILD_D,60ABSAHCP_CHILD_D,60RELBHCN_CHILD_D,60ABSBHCN_CHILD_D,60RELAHCN_CHILD_D,60ABSAHCN_CHILD_D,60RELBHCP_CHILD_ND,60ABSBHCP_CHILD_ND,60RELAHCP_CHILD_ND,60ABSAHCP_CHILD_ND,60RELBHCN_CHILD_ND,60ABSBHCN_CHILD_ND,60RELAHCN_CHILD_ND,60ABSAHCN_CHILD_ND,
1995/96,GB,31,51,44,59,0.9,1.5,1.3,1.8,21,35,30,42,2.1,3.4,2.9,4.1,
1996/97,GB,34,48,43,57,1.0,1.4,1.2,1.6,25,34,32,40,2.4,3.3,3.1,4.0,
1997/98,GB,37,48,44,55,1.2,1.6,1.4,1.8,23,32,30,38,2.2,3.0,2.8,3.6,
1998/99,GB,34,46,43,53,1.1,1.5,1.4,1.8,23,31,31,38,2.2,2.9,2.9,3.5,
1999/00,GB,33,43,42,52,1.0,1.3,1.3,1.6,23,29,30,36,2.2,2.8,2.9,3.4,
2000/01,GB,31,38,40,46,1.0,1.2,1.3,1.5,21,25,28,32,1.9,2.4,2.6,3.0,
2001/02,GB,32,34,40,43,0.9,1.0,1.2,1.3,20,22,28,29,2.0,2.2,2.7,2.8,
2002/03,UK,29,30,37,37,0.9,0.9,1.2,1.2,20,21,27,27,2.0,2.0,2.6,2.7,
2003/04,UK,27,28,36,35,0.8,0.9,1.1,1.1,20,21,26,26,2.0,2.0,2.6,2.5,
2004/05,UK,28,28,38,36,0.9,0.9,1.1,1.1,19,19,25,25,1.9,1.9,2.5,2.4,
2005/06,UK,28,27,36,34,0.9,0.9,1.2,1.1,20,19,27,26,1.9,1.9,2.6,2.5,
2006/07,UK,30,28,38,34,0.9,0.9,1.1,1.0,20,19,29,26,2.0,1.9,2.8,2.6,
2007/08,UK,32,30,42,38,1.0,0.9,1.3,1.2,20,19,28,26,2.0,1.9,2.8,2.6,
2008/09,UK,29,27,38,36,0.9,0.8,1.2,1.1,20,18,28,26,2.0,1.8,2.8,2.6,
2009/10,UK,25,23,36,34,0.8,0.8,1.2,1.1,18,16,27,25,1.8,1.6,2.7,2.5,
2010/11,UK,22,22,33,33,0.7,0.7,1.1,1.1,16,16,25,25,1.6,1.6,2.5,2.5,
2011/12,UK,21,23,32,36,0.7,0.8,1.1,1.2,16,19,25,27,1.6,1.8,2.5,2.7,
2012/13,UK,21,25,33,37,0.8,0.9,1.2,1.4,16,18,25,28,1.5,1.7,2.4,2.7,
2013/14,UK,22,25,37,40,0.8,0.9,1.3,1.5,15,17,24,27,1.5,1.6,2.4,2.6,
