Year,UK,60RELBHCP_PEN_D,60ABSBHCP_PEN_D,60RELAHCP_PEN_D,60ABSAHCP_PEN_D,60RELBHCN_PEN_D,60ABSBHCN_PEN_D,60RELAHCN_PEN_D,60ABSAHCN_PEN_D,60RELBHCP_PEN_ND,60ABSBHCP_PEN_ND,60RELAHCP_PEN_ND,60ABSAHCP_PEN_ND,60RELBHCN_PEN_ND,60ABSBHCN_PEN_ND,60RELAHCN_PEN_ND,60ABSAHCN_PEN_ND
1995/96,GB,23,45,27,47,1.2,2.4,1.4,2.5,25,46,29,46,1.2,2.1,1.3,2.1
1996/97,GB,23,40,28,42,1.1,2.0,1.4,2.0,27,42,31,43,1.3,2.1,1.5,2.1
1997/98,GB,24,39,29,41,1.3,2.1,1.5,2.2,27,40,29,40,1.2,1.9,1.4,1.9
1998/99,GB,25,38,28,39,1.4,2.1,1.5,2.1,29,40,30,39,1.3,1.8,1.4,1.8
1999/00,GB,24,34,26,35,1.2,1.8,1.4,1.8,27,36,29,37,1.3,1.7,1.4,1.8
2000/01,GB,23,30,24,30,1.3,1.7,1.4,1.7,27,32,28,33,1.2,1.5,1.3,1.5
2001/02,GB,24,27,26,28,1.3,1.4,1.4,1.5,26,28,26,29,1.2,1.3,1.2,1.4
2002/03,UK,22,23,22,22,1.3,1.4,1.3,1.3,27,28,26,26,1.2,1.2,1.2,1.2
2003/04,UK,20,21,19,18,1.2,1.3,1.1,1.1,25,26,22,22,1.2,1.2,1.0,1.0
2004/05,UK,19,19,16,15,1.1,1.1,0.9,0.9,23,23,19,18,1.1,1.1,0.9,0.8
2005/06,UK,19,19,15,14,1.2,1.1,1.0,0.8,22,21,17,16,1.0,1.0,0.8,0.7
2006/07,UK,21,20,18,15,1.3,1.3,1.1,0.9,25,23,20,17,1.2,1.1,0.9,0.8
2007/08,UK,21,20,17,14,1.3,1.2,1.1,0.9,24,23,19,17,1.2,1.1,0.9,0.8
2008/09,UK,18,17,15,13,1.2,1.1,1.0,0.8,22,20,17,15,1.1,1.0,0.8,0.7
2009/10,UK,17,15,14,13,1.1,1.0,0.9,0.8,19,17,16,14,1.0,0.9,0.8,0.7
2010/11,UK,16,16,14,14,1.1,1.1,0.9,0.9,18,18,14,14,0.9,0.9,0.7,0.7
2011/12,UK,14,16,12,14,0.9,1.0,0.8,0.9,18,20,14,16,0.9,1.0,0.7,0.8
2012/13,UK,15,17,13,15,1.0,1.1,0.8,0.9,16,18,14,16,0.9,1.0,0.8,0.9
2013/14,UK,15,17,14,16,0.9,1.0,0.9,1.0,17,19,14,16,1.0,1.1,0.8,0.9
