Year,UK,60RELBHCP_WA_D,60ABSBHCP_WA_D,60RELAHCP_WA_D,60ABSAHCP_WA_D,60RELBHCN_WA_D,60ABSBHCN_WA_D,60RELAHCN_WA_D,60ABSAHCN_WA_D,60RELBHCP_WA_ND,60ABSBHCP_WA_ND,60RELAHCP_WA_ND,60ABSAHCP_WA_ND,60RELBHCN_WA_ND,60ABSBHCN_WA_ND,60RELAHCN_WA_ND,60ABSAHCN_WA_ND,,
1995/96,GB,18,33,27,40,1.3,2.4,2.0,2.9,13,20,18,26,3.2,5.2,4.6,6.6,,
1996/97,GB,20,32,28,39,1.4,2.2,1.9,2.7,14,19,19,24,3.6,5.1,4.9,6.4,,
1997/98,GB,21,31,28,36,1.7,2.4,2.2,2.8,13,18,17,22,3.3,4.6,4.3,5.6,,
1998/99,GB,22,31,29,36,1.8,2.4,2.3,2.9,12,16,17,21,3.0,4.1,4.2,5.4,,
1999/00,GB,22,29,29,35,1.7,2.2,2.2,2.7,13,16,17,20,3.3,4.2,4.3,5.3,,
2000/01,GB,23,27,29,33,1.8,2.1,2.3,2.6,12,14,16,19,3.1,3.7,4.2,4.8,,
2001/02,GB,24,25,29,30,1.8,1.9,2.2,2.3,12,13,16,17,3.1,3.3,4.1,4.3,,
2002/03,UK,22,22,28,28,1.8,1.8,2.2,2.3,12,13,16,17,3.3,3.4,4.4,4.4,,
2003/04,UK,21,22,27,27,1.7,1.7,2.1,2.1,12,13,17,17,3.4,3.5,4.6,4.5,,
2004/05,UK,22,22,28,27,1.7,1.7,2.2,2.1,12,12,16,16,3.3,3.3,4.4,4.3,,
2005/06,UK,21,21,27,26,1.8,1.7,2.3,2.2,13,13,18,17,3.5,3.5,4.9,4.6,,
2006/07,UK,24,23,30,28,1.8,1.8,2.3,2.1,12,12,18,17,3.5,3.4,5.0,4.7,,
2007/08,UK,25,24,31,29,1.9,1.8,2.4,2.2,13,12,18,17,3.7,3.5,5.1,4.8,,
2008/09,UK,23,21,29,27,1.8,1.7,2.3,2.2,14,13,19,18,3.9,3.7,5.5,5.2,,
2009/10,UK,21,20,29,27,1.8,1.6,2.4,2.2,14,13,20,19,3.9,3.6,5.6,5.2,,
2010/11,UK,22,22,28,28,1.8,1.8,2.3,2.3,13,13,19,19,3.7,3.7,5.4,5.4,,
2011/12,UK,20,22,28,29,1.8,2.0,2.5,2.7,13,15,19,20,3.8,4.2,5.4,5.7,,
2012/13,UK,22,24,29,32,2.0,2.2,2.7,2.9,12,13,19,20,3.6,3.8,5.3,5.8,,
2013/14,UK,22,23,32,34,1.9,2.1,2.9,3.1,12,13,18,19,3.4,3.7,5.0,5.4,,
,,,,,,,,,,,,,,,,,,,
